Nome                Palavra             Tentativas        Tempo(em segundos)
Gustavo               cassa               6               213              
sjfdsfd               curar               6               85              
Adam               sesta               6               150              
Carlos               notre               4               103              
sjhfsdjf               atlas               6               442              
Estevan               goela               6               256              
Isaac Newton               geral               5               49              
Djikstra               cairo               3               35              
Rodrigo               ninar               0               113              
Francis Coppola               casal               0               99              
Margaret               farda               3               18              
